"hotel_name","hotel_url","source","source_reduced","uri","postalcode","streetaddress","addresscountry","addresslocality","frequent_part_hotel_name","infrequent_part_hotel_name"
"Mentone Hotel","<https://www.hotels.com/ho285729/mentone-hotel-london-united-kingdom/>","<https://www.hotels.com/de1653272/hotels-near-bt-tower-post-office-tower-london-united-kingdom/>","hotels.com","hotels.com_181","","","","","hotel","mentone"
"Collingham Serviced Apartments","<https://www.hotels.com/ho211274/collingham-serviced-apartments-london-united-kingdom/>","<https://www.hotels.com/de1653272/hotels-near-bt-tower-post-office-tower-london-united-kingdom/>","hotels.com","hotels.com_182","","","","","apartments","serviced collingham"
"Holiday Inn London Mayfair","<https://www.hotels.com/ho107066/holiday-inn-london-mayfair-london-united-kingdom/>","<https://www.hotels.com/de1653272/hotels-near-bt-tower-post-office-tower-london-united-kingdom/>","hotels.com","hotels.com_183","","","","","inn holiday","mayfair london"
"Londonskaya Hotel","<https://www.hotels.com/ho119918/londonskaya-hotel-odessa-ukraine/>","<https://www.hotels.com/de1778078/hotels-near-shevchenko-park-odessa-ukraine/>","hotels.com","hotels.com_184","","","","","hotel","londonskaya"
"Point A Hotel - Westminster, London","<https://www.hotels.com/ho405691/point-a-hotel-westminster-london-le-nouvion-en-thierache-france/>","<https://www.hotels.com/de1772714/hotels-ors-france/>","hotels.com","hotels.com_185","","","","","hotel","point london westminster"
"Best Western Plus Stoneridge Inn & Conference Centre","<https://www.hotels.com/ho126371/best-western-plus-stoneridge-inn-conference-centre-london-canada/>","<https://www.hotels.com/de171249/hotels-port-stanley-ontario/>","hotels.com","hotels.com_186","","","","","best inn centre western","plus stoneridge conference"
"Days Inn London","<https://www.hotels.com/ho127032/days-inn-london-london-canada/>","<https://www.hotels.com/de171249/hotels-port-stanley-ontario/>","hotels.com","hotels.com_187","","","","","inn","days london"
"Homewood Suites London Ontario","<https://www.hotels.com/ho254171/homewood-suites-london-ontario-london-canada/>","<https://www.hotels.com/de171249/hotels-port-stanley-ontario/>","hotels.com","hotels.com_188","","","","","suites","homewood london ontario"
"Ramada Inn London","<https://www.hotels.com/ho105433/ramada-inn-london-london-canada/>","<https://www.hotels.com/de171249/hotels-port-stanley-ontario/>","hotels.com","hotels.com_189","","","","","inn","london ramada"
"Cheval Gloucester Park","<https://in.hotels.com/ho430922/cheval-gloucester-park-london-united-kingdom/>","<https://in.hotels.com/de549499/hotels-in-london-united-kingdom/>","hotels.com","hotels.com_19","","","","","park","gloucester cheval"
"Mercure London Watford Hotel","<https://www.hotels.com/ho139089/mercure-london-watford-hotel-watford-united-kingdom/>","<https://www.hotels.com/de1712731/hotels-near-verulamium-museum-hertfordshire-county-united-kingdom/>","hotels.com","hotels.com_190","","","","","hotel","london mercure watford"
"Ramada London Finchley","<https://www.hotels.com/ho173700/ramada-london-finchley-north-london-united-kingdom/>","<https://www.hotels.com/de1731771/hotels-near-enfield-ponders-end-station-enfield-united-kingdom/>","hotels.com","hotels.com_191","","","","","","finchley london ramada"
"Glenlyn Hotel","<https://www.hotels.com/ho320471/glenlyn-hotel-north-london-united-kingdom/>","<https://www.hotels.com/de1731771/hotels-near-enfield-ponders-end-station-enfield-united-kingdom/>","hotels.com","hotels.com_192","","","","","hotel","glenlyn"
"Holiday Inn Brentwood M25, Jct. 28","<https://www.hotels.com/ho138678/holiday-inn-brentwood-m25-jct-28-brentwood-united-kingdom/>","<https://www.hotels.com/de1699789/hotels-near-hornchurch-station-london-united-kingdom/>","hotels.com","hotels.com_193","","","","","inn holiday","jct brentwood"
"Days Inn Mystic","<https://www.hotels.com/ho126455/days-inn-mystic-mystic-united-states-of-america/>","<https://www.hotels.com/de1643149-am527/free-wifi-hotels-mystic-new-london-and-vicinity-connecticut/>","hotels.com","hotels.com_194","","","","","inn","days mystic"
"Hyatt Place Mohegan Sun","<https://www.hotels.com/ho312290/hyatt-place-mohegan-sun-uncasville-united-states-of-america/>","<https://www.hotels.com/de1643149-am527/free-wifi-hotels-mystic-new-london-and-vicinity-connecticut/>","hotels.com","hotels.com_195","","","","","","hyatt sun mohegan place"
"Holiday Inn Norwich","<https://www.hotels.com/ho105893/holiday-inn-norwich-norwich-united-states-of-america/>","<https://www.hotels.com/de1643149-am527/free-wifi-hotels-mystic-new-london-and-vicinity-connecticut/>","hotels.com","hotels.com_196","","","","","inn holiday","norwich"
"Mystic River Inn","<https://www.hotels.com/ho209575/mystic-river-inn-mystic-united-states-of-america/>","<https://www.hotels.com/de1643149-am527/free-wifi-hotels-mystic-new-london-and-vicinity-connecticut/>","hotels.com","hotels.com_197","","","","","inn","river mystic"
"Hilton Garden Inn Mystic/Groton","<https://www.hotels.com/ho264878/hilton-garden-inn-mystic-groton-groton-united-states-of-america/>","<https://www.hotels.com/de1643149-am527/free-wifi-hotels-mystic-new-london-and-vicinity-connecticut/>","hotels.com","hotels.com_198","","","","","garden hilton inn","groton mystic"
"Orchida St. George Hotel","<https://www.hotels.com/ho564674/orchida-st-george-hotel-east-london-south-africa/>","<https://www.hotels.com/de1617986-am128/pool-hotels-east-london-south-africa/>","hotels.com","hotels.com_199","","","","","hotel st","george orchida"
"Dorsett Shepherds Bush","<https://au.hotels.com/ho448551/dorsett-shepherds-bush-london-united-kingdom/>","<https://au.hotels.com/nh1695969/accommodation-in-bloomsbury-london-united-kingdom/>","hotels.com","hotels.com_2","","","","","","shepherds bush dorsett"
"DoubleTree by Hilton London West End","<https://in.hotels.com/ho160988/doubletree-by-hilton-london-west-end-london-united-kingdom/>","<https://in.hotels.com/de549499/hotels-in-london-united-kingdom/>","hotels.com","hotels.com_20","","","","","west hilton","london end doubletree"
"St. George's Pimlico","<https://www.hotels.com/ho437901/st-george-s-pimlico-london-united-kingdom/>","<https://www.hotels.com/de1700264/hotels-near-park-royal-underground-station-london-united-kingdom/>","hotels.com","hotels.com_200","","","","","st","george pimlico"
"The Hari","<https://www.hotels.com/ho230473/the-hari-london-united-kingdom/>","<https://www.hotels.com/de1700264/hotels-near-park-royal-underground-station-london-united-kingdom/>","hotels.com","hotels.com_201","","","","","","hari"
"Hilton London Metropole","<https://www.hotels.com/ho170309/hilton-london-metropole-london-united-kingdom/>","<https://www.hotels.com/de1700264/hotels-near-park-royal-underground-station-london-united-kingdom/>","hotels.com","hotels.com_202","","","","","hilton","metropole london"
"Hawaiian Hideaway at Akaka Falls","<https://www.hotels.com/ho475381/hawaiian-hideaway-at-akaka-falls-london-united-kingdom/>","<https://www.hotels.com/de1700264/hotels-near-park-royal-underground-station-london-united-kingdom/>","hotels.com","hotels.com_203","","","","","","hideaway akaka falls hawaiian"
"Sofitel London St James","<https://uk.hotels.com/ho199888/sofitel-london-st-james-london-united-kingdom/>","<https://uk.hotels.com/de549499-am16384/parking-available-hotels-london-united-kingdom/>","hotels.com","hotels.com_204","","","","","st","sofitel london james"
"ibis Styles London Excel","<https://uk.hotels.com/ho426911/ibis-styles-london-excel-london-united-kingdom/>","<https://uk.hotels.com/de549499-am16384/parking-available-hotels-london-united-kingdom/>","hotels.com","hotels.com_205","","","","","","ibis excel london styles"
"Sunborn London","<https://au.hotels.com/ho463416/sunborn-london-london-united-kingdom/>","<https://au.hotels.com/de549499-st4/four-star-accommodation-london-united-kingdom/>","hotels.com","hotels.com_206","","","","","","sunborn london"
"The Trafalgar St. James London, Curio Collection by Hilton","<https://au.hotels.com/ho195145/the-trafalgar-st-james-london-curio-collection-by-hilton-london-united-kingdom/>","<https://au.hotels.com/de549499-st4/four-star-accommodation-london-united-kingdom/>","hotels.com","hotels.com_207","","","","","st hilton","london collection curio trafalgar james"
"The Hospital Club","<https://au.hotels.com/ho647659/the-hospital-club-london-united-kingdom/>","<https://au.hotels.com/de549499-st4/four-star-accommodation-london-united-kingdom/>","hotels.com","hotels.com_208","","","","","","hospital club"
"DoubleTree by Hilton Hotel London ExCel","<https://www.hotels.com/ho218082/doubletree-by-hilton-hotel-london-excel-london-united-kingdom/>","<https://www.hotels.com/de548704/hotels-ilford-united-kingdom/>","hotels.com","hotels.com_209","","","","","hotel hilton","london excel doubletree"
"Hotel London Santarem","<https://www.hotels.com/ho609351/hotel-london-santarem-santarem-brazil/>","<https://www.hotels.com/de1756496/hotels-near-maracana-beach-santarem-brazil/>","hotels.com","hotels.com_21","","","","","hotel","santarem london"
"ibis London Blackfriars","<https://www.hotels.com/ho419889/ibis-london-blackfriars-london-united-kingdom/>","<https://www.hotels.com/de1731568/hotels-near-london-mill-hill-broadway-station-barnet-united-kingdom/>","hotels.com","hotels.com_210","","","","","","ibis london blackfriars"
"Avoca House Hotel","<https://www.hotels.com/ho285954/avoca-house-hotel-london-united-kingdom/>","<https://www.hotels.com/de1731568/hotels-near-london-mill-hill-broadway-station-barnet-united-kingdom/>","hotels.com","hotels.com_211","","","","","hotel house","avoca"
"Wembley International Hotel","<https://www.hotels.com/ho205996/wembley-international-hotel-wembley-united-kingdom/>","<https://www.hotels.com/de1731568/hotels-near-london-mill-hill-broadway-station-barnet-united-kingdom/>","hotels.com","hotels.com_212","","","","","hotel international","wembley"
"Oxford Hotel Earl's Court","<https://www.hotels.com/ho234936/oxford-hotel-earl-s-court-london-united-kingdom/>","<https://www.hotels.com/de1671533/hotels-near-the-monument-london-united-kingdom/>","hotels.com","hotels.com_213","","","","","hotel","oxford court earl"
"Grand Royale London Hyde Park","<https://www.hotels.com/ho238094/grand-royale-london-hyde-park-london-united-kingdom/>","<https://www.hotels.com/de1671533/hotels-near-the-monument-london-united-kingdom/>","hotels.com","hotels.com_214","","","","","park grand","royale hyde london"
"Apartments Inn London Lancaster","<https://www.hotels.com/ho487806/apartments-inn-london-lancaster-london-united-kingdom/>","<https://www.hotels.com/de1671533/hotels-near-the-monument-london-united-kingdom/>","hotels.com","hotels.com_215","","","","","apartments inn","lancaster london"
"Hampton Inn Groton/Mystic/New London","<https://www.hotels.com/ho191957/hampton-inn-groton-mystic-new-london-groton-united-states-of-america/>","<https://www.hotels.com/de1801428/hotels-near-waterford-speedbowl-waterford-united-states-of-america/>","hotels.com","hotels.com_216","","","","","inn hampton","london groton mystic new"
"Fox and Grapes","<https://www.hotels.com/ho383628/fox-and-grapes-london-united-kingdom/>","<https://www.hotels.com/de1731150/hotels-near-kingston-university-london-united-kingdom/>","hotels.com","hotels.com_217","","","","","","fox grapes"
"The Lodge at Bromley","<https://www.hotels.com/ho327991/the-lodge-at-bromley-peru-united-states-of-america/>","<https://www.hotels.com/de1636011/hotels-londonderry-vermont/>","hotels.com","hotels.com_218","","","","","lodge","bromley"
"Bromley View Inn","<https://www.hotels.com/ho243563/bromley-view-inn-bondville-united-states-of-america/>","<https://www.hotels.com/de1636011/hotels-londonderry-vermont/>","hotels.com","hotels.com_219","","","","","inn","view bromley"
"Mercure London Staines-upon-Thames Hotel","<https://www.hotels.com/ho276819/mercure-london-staines-upon-thames-hotel-staines-united-kingdom/>","<https://www.hotels.com/de547759/united-kingdom/egham-hotels/?rffrid=hcom.vcomredirect&pos=HCOM_US&locale=en_US&sbt=1>","hotels.com","hotels.com_22","","","","","hotel","staines thames london mercure upon"
"Thistle London Heathrow T5","<https://www.hotels.com/ho143163/thistle-london-heathrow-t5-west-drayton-united-kingdom/>","<https://www.hotels.com/de549499/hotels-london-united-kingdom/>","hotels.com","hotels.com_220","","","","","","heathrow london thistle"
"PubLove @ The Crown, Battersea","<https://www.hotels.com/ho470411/publove-the-crown-battersea-london-united-kingdom/>","<https://www.hotels.com/de549499/hotels-london-united-kingdom/>","hotels.com","hotels.com_221","","","","","","publove battersea crown"
"Generator Hostel London","<https://www.hotels.com/ho259199/generator-hostel-london-london-united-kingdom/>","<https://www.hotels.com/de549499/hotels-london-united-kingdom/>","hotels.com","hotels.com_222","","","","","","hostel london generator"
"Days Hotel Waterloo","<https://www.hotels.com/ho188548/days-hotel-waterloo-london-united-kingdom/>","<https://www.hotels.com/de549499/hotels-london-united-kingdom/>","hotels.com","hotels.com_223","","","","","hotel","days waterloo"
"St Paul Hotel","<https://www.hotels.com/ho464151/st-paul-hotel-london-united-kingdom/>","<https://www.hotels.com/de1653505/hotels-near-twickenham-stadium-london-united-kingdom/?pos=HCOM_US&locale=en_US>","hotels.com","hotels.com_224","","","","","hotel st","paul"
"Novotel London West","<https://www.hotels.com/ho143566/novotel-london-west-london-united-kingdom/>","<https://www.hotels.com/de1653505/hotels-near-twickenham-stadium-london-united-kingdom/?pos=HCOM_US&locale=en_US>","hotels.com","hotels.com_225","","","","","west","novotel london"
"Best Western Plus Seraphine Hammersmith Hotel","<https://www.hotels.com/ho382310/best-western-plus-seraphine-hammersmith-hotel-london-united-kingdom/>","<https://www.hotels.com/de1653505/hotels-near-twickenham-stadium-london-united-kingdom/?pos=HCOM_US&locale=en_US>","hotels.com","hotels.com_226","","","","","best hotel western","plus seraphine hammersmith"
"Clayton Hotel Chiswick","<https://www.hotels.com/ho246296/clayton-hotel-chiswick-london-united-kingdom/>","<https://www.hotels.com/de1653505/hotels-near-twickenham-stadium-london-united-kingdom/?pos=HCOM_US&locale=en_US>","hotels.com","hotels.com_227","","","","","hotel","chiswick clayton"
"Best Western Chiswick Palace & Suites","<https://www.hotels.com/ho286035/best-western-chiswick-palace-suites-london-united-kingdom/>","<https://www.hotels.com/de1653505/hotels-near-twickenham-stadium-london-united-kingdom/?pos=HCOM_US&locale=en_US>","hotels.com","hotels.com_228","","","","","best suites western","chiswick palace"
"Maple Glen Motel","<https://www.hotels.com/ho464254/maple-glen-motel-london-canada/>","<https://www.hotels.com/de170897/hotels-ingersoll-ontario/>","hotels.com","hotels.com_229","","","","","motel","maple glen"
"Red Roof Inn Mystic - New London","<https://www.hotels.com/ho127437/red-roof-inn-mystic-new-london-new-london-united-states-of-america/>","<https://www.hotels.com/de1508473/hotels-waterford-connecticut/>","hotels.com","hotels.com_23","","","","","inn","london red roof mystic new"
"Ramada London Stansted Airport","<https://www.hotels.com/ho322363/ramada-london-stansted-airport-bishop-s-stortford-united-kingdom/>","<https://www.hotels.com/de1710563/hotels-near-stansted-airport-station-stansted-united-kingdom/>","hotels.com","hotels.com_230","","","","","airport","stansted london ramada"
"North House","<https://www.hotels.com/ho628363/north-house-cowes-united-kingdom/>","<https://www.hotels.com/de1760824/hotels-near-royal-london-yacht-club-cowes-united-kingdom/>","hotels.com","hotels.com_231","","","","","house north",""
"Kip Hotel","<https://au.hotels.com/ho581101/kip-hotel-london-united-kingdom/>","<https://au.hotels.com/de549499-qu0/cheap-accommodation-london-united-kingdom/>","hotels.com","hotels.com_232","","","","","hotel","kip"
"SoHostel","<https://au.hotels.com/ho479356/sohostel-london-united-kingdom/>","<https://au.hotels.com/de549499-qu0/cheap-accommodation-london-united-kingdom/>","hotels.com","hotels.com_233","","","","","","sohostel"
"St\u00FCdyo Paddington by Bridgestreet","<https://au.hotels.com/ho678230/studyo-paddington-by-bridgestreet-london-united-kingdom/>","<https://au.hotels.com/de549499-qu0/cheap-accommodation-london-united-kingdom/>","hotels.com","hotels.com_234","","","","","st","paddington bridgestreet"
"Venture Hostel","<https://au.hotels.com/ho402789/venture-hostel-london-united-kingdom/>","<https://au.hotels.com/de549499-qu0/cheap-accommodation-london-united-kingdom/>","hotels.com","hotels.com_235","","","","","","hostel venture"
"Welby 20","<https://au.hotels.com/ho309188/welby-20-london-united-kingdom/>","<https://au.hotels.com/de549499-qu0/cheap-accommodation-london-united-kingdom/>","hotels.com","hotels.com_236","","","","","","welby"
"InterContinental London - The O2","<https://www.hotels.com/ho535741/intercontinental-london-the-o2-london-united-kingdom/>","<https://www.hotels.com/de1732219/hotels-near-london-wandsworth-putney-station-london-united-kingdom/>","hotels.com","hotels.com_237","","","","","intercontinental","london"
"The Strand Palace Hotel","<https://www.hotels.com/ho114409/the-strand-palace-hotel-london-united-kingdom/>","<https://www.hotels.com/de1732219/hotels-near-london-wandsworth-putney-station-london-united-kingdom/>","hotels.com","hotels.com_238","","","","","hotel","strand palace"
