"hotel_name","hotel_url","source","source_reduced","uri","postalcode","streetaddress","addresscountry","addresslocality","frequent_part_hotel_name","infrequent_part_hotel_name"
"Best Western Hotel Horizon","<http://www.touristlink.com/belgium/ghislenghien/cat/hotels.html>","<http://www.touristlink.com/belgium/great-synagogue-of-europe/cat/hotels.html>","www.touristlink.com","touristlink.com_914","7822","Avenue Des Artisans 1, Ghislenghien","Belgium","Antwerp","best hotel western","horizon"
"Western Motel Ranchester","<http://www.touristlink.com/united-states/wyoming-ranchester/cat/hotels.html>","<http://www.touristlink.com/united-states/fort-phil-kearny-state-historic-site/cat/hotels.html>","www.touristlink.com","touristlink.com_915","82839","350 Us Highway 14","United States","Ranchester","motel western","ranchester"
"Ranch at Ucross","<http://www.touristlink.com/united-states/colorado-sheridan/cat/hotels.html>","<http://www.touristlink.com/united-states/fort-phil-kearny-state-historic-site/cat/hotels.html>","www.touristlink.com","touristlink.com_916","82835","2673 Us Highway 14 E","United States","Sheridan","","ucross ranch"
"Budget Host Wheels Inn","<http://www.touristlink.com/united-states/greybull/cat/hotels.html>","<http://www.touristlink.com/united-states/fort-phil-kearny-state-historic-site/cat/hotels.html>","www.touristlink.com","touristlink.com_917","82426","1324 North 6th Street Big Horn","United States","Greybull","inn","host wheels budget"
"Comfort Inn Worland","<http://www.touristlink.com/united-states/worland/cat/hotels.html>","<http://www.touristlink.com/united-states/fort-phil-kearny-state-historic-site/cat/hotels.html>","www.touristlink.com","touristlink.com_918","82401","100 North Road 11","United States","Worland","comfort inn","worland"
"National 9 Gillette","<http://www.touristlink.com/united-states/gillette/cat/hotels.html>","<http://www.touristlink.com/united-states/fort-phil-kearny-state-historic-site/cat/hotels.html>","www.touristlink.com","touristlink.com_919","82716","1020 E Highway 14 16","United States","Gillette","","national gillette"
"Holiday Inn Express Exton","<http://www.touristlink.com/united-states/exton/cat/hotels.html>","<http://www.touristlink.com/united-states/west-chester/cat/hotels.html>","www.touristlink.com","touristlink.com_92","19341","120 North Pottstown Pike","United States","Exton","inn express holiday","exton"
"Beau Rivage","<http://www.touristlink.com/united-states/biloxi/cat/hotels.html>","<http://www.touristlink.com/united-states/moss-point/cat/resorts.html>","www.touristlink.com","touristlink.com_920","39530","875 Beach Blvd","United States","Biloxi","","beau rivage"
"Ac Alcala","<http://www.touristlink.com/spain/alcala-de-henares/cat/hotels.html>","<http://www.touristlink.com/spain/san-isidro-royal-collegiate/cat/hotels.html>","www.touristlink.com","touristlink.com_921","28805","Octavio Paz, 25","Spain","Alcala de Henares","","ac alcala"
"Hotel Galaico","<http://www.touristlink.com/spain/collado-villalba/cat/hotels.html>","<http://www.touristlink.com/spain/san-isidro-royal-collegiate/cat/hotels.html>","www.touristlink.com","touristlink.com_922","28400","Avenida Juan Carlos I, 45","Spain","Collado Villalba","hotel","galaico"
