"hotel_name","hotel_url","source","source_reduced","uri","postalcode","streetaddress","addresscountry","addresslocality","frequent_part_hotel_name","infrequent_part_hotel_name"
"White Apartments - Adults Only","<https://www.booking.com/hotel/es/apartamentos-poseidon-i.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/ibiza/gayguide/cafe-ole.html>","www.nighttours.com","www.nighttours.com_1720","","Carlos Rom\u00E1n Ferrer, 38 - Es Vive -","es","","apartments","adults white"
"Bungalows Todoque","<https://www.booking.com/hotel/es/bungalows-todoque.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/grancanaria/gayguide/cafe-wien.html>","www.nighttours.com","www.nighttours.com_1721","","Avenida Alemania, 19","es","","","bungalows todoque"
"Rey Carlos","<https://www.booking.com/hotel/es/rey-carlos.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/grancanaria/gayguide/cafe-wien.html>","www.nighttours.com","www.nighttours.com_1722","","Avenida de Tirajana, 14","es","","","rey carlos"
"Villa Aguayro","<https://www.booking.com/hotel/es/villa-aguayro.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/grancanaria/gayguide/cafe-wien.html>","www.nighttours.com","www.nighttours.com_1723","","Calle Inglaterra 4 D14","es","","villa","aguayro"
"Old Town Apartments Cologne","<https://www.booking.com/hotel/de/old-town-apartments-cologne.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/cologne/gayguide/fetisch-boat-party.html>","www.nighttours.com","www.nighttours.com_1724","","Buttermarkt 14","de","","apartments","old cologne town"
"Hotel und Restaurant L\u00F6wenbr\u00E4u K\u00F6ln","<https://www.booking.com/hotel/de/hotelloewenbraeukoeln.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/cologne/gayguide/fetisch-boat-party.html>","www.nighttours.com","www.nighttours.com_1725","","Frankenwerft 21","de","","hotel","restaurant k und l"
"Haus Enteresan","<https://www.booking.com/hotel/de/hausenteresan.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/cologne/gayguide/fetisch-boat-party.html>","www.nighttours.com","www.nighttours.com_1726","","Frankenwerft 13","de","","","enteresan haus"
"Cosy Flat, in the Marais","<https://www.booking.com/hotel/fr/cosy-flat-in-the-marais-paris.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/paris/gayguide/full-metal.html>","www.nighttours.com","www.nighttours.com_1727","","39 Rue des Blancs Manteaux","fr","","","marais flat cosy"
"Marais Studio with Lift (138)","<https://www.booking.com/hotel/fr/marais-studio-with-lift-138.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/paris/gayguide/full-metal.html>","www.nighttours.com","www.nighttours.com_1728","","Rue du Temple","fr","","","lift marais studio"
"Le Marais Historic Cosy Apartment","<https://www.booking.com/hotel/fr/le-marrais-historic-cosy-apartment.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/paris/gayguide/full-metal.html>","www.nighttours.com","www.nighttours.com_1729","","Rue du Temple","fr","","apartment le","marais cosy historic"
"VISIONAPARTMENTS Zurich Albertstrasse","<https://www.booking.com/hotel/ch/vision-apartments-albertstrasse.html?aid=303905&label=detailsuggestion>","<http://www.nighttours.com/zurich/gayguide/heldenbar.html>","www.nighttours.com","www.nighttours.com_173","","Albertstrasse 7","ch","","","zurich albertstrasse visionapartments"
"Radisson Blu Plaza Hotel, Oslo","<https://www.booking.com/hotel/no/radisson-blu-plaza-oslo.html?aid=303905&label=hotels>","<http://www.nighttours.com/oslo/hotels/>","www.nighttours.com","www.nighttours.com_1730","0134","Sonja Henies Plass 3","no","Oslo","plaza hotel","oslo blu radisson"
"Radisson Blu Scandinavia Hotel, Oslo","<https://www.booking.com/hotel/no/radisson-blu-scandinavia-oslo.html?aid=303905&label=hotels>","<http://www.nighttours.com/oslo/hotels/>","www.nighttours.com","www.nighttours.com_1731","0166","Holbergsgate 30","no","Oslo","hotel","oslo blu scandinavia radisson"
"P-Hotels Oslo","<https://www.booking.com/hotel/no/p-hotels-oslo.html?aid=303905&label=hotels>","<http://www.nighttours.com/oslo/hotels/>","www.nighttours.com","www.nighttours.com_1732","0159","Grensen 19","no","Oslo","","oslo hotels p"
"Park Inn by Radisson Oslo","<https://www.booking.com/hotel/no/park-inn-oslo.html?aid=303905&label=hotels>","<http://www.nighttours.com/oslo/hotels/>","www.nighttours.com","www.nighttours.com_1733","0157","\u00D8vre Slottsgate 2C","no","Oslo","park inn","oslo radisson"
"Smarthotel Oslo","<https://www.booking.com/hotel/no/smarthotel-oslo.html?aid=303905&label=hotels>","<http://www.nighttours.com/oslo/hotels/>","www.nighttours.com","www.nighttours.com_1734","0166","St. Olavs gate 26","no","Oslo","","smarthotel oslo"
