"URI","City","City population","Country","lat","long"
"WebTables_224","GUATEMALA CITY","1,090,000","Guatemala","",""
"WebTables_225","CONAKRY","1,931,000","Guinea","",""
"WebTables_226","PORT-AU-PRINCE","1,083,000","Haiti","",""
"WebTables_227","Tegucigalpa","1,200,000","Honduras","",""
"WebTables_228","BUDAPEST","1,712,000","Hungary","",""
"WebTables_229","Mumbai (Bombay)","13,900,000","India","",""
"WebTables_230","DELHI","12,100,000","India","",""
"WebTables_231","Bangalore","5,840,000","India","",""
"WebTables_232","Surat","5,390,000","India","",""
"WebTables_233","Kolkata","5,100,000","India","",""
"WebTables_234","Chennai","4,600,000","India","",""
"WebTables_235","Ahmadabad","4,525,000","India","",""
"WebTables_236","Hyderabad","3,637,000","India","",""
"WebTables_237","Pune","3,337,000","India","",""
"WebTables_238","Kanpur","3,100,000","India","",""
"WebTables_239","Jaipur","3,050,000","India","",""
"WebTables_240","Durg","2,810,000","India","",""
"WebTables_241","Nagpur","2,420,000","India","",""
"WebTables_242","Lucknow","2,342,000","India","",""
"WebTables_243","Indore","1,912,000","India","",""
"WebTables_244","Patna","1,800,000","India","",""
"WebTables_245","Agra","1,650,000","India","",""
"WebTables_246","Nashik","1,620,000","India","",""
"WebTables_247","Pimpri Chinchwad","1,515,000","India","",""
"WebTables_248","Vadodara","1,500,000","India","",""
"WebTables_249","Bhopal","1,458,000","India","",""
"WebTables_250","Ludhiana","1,400,000","India","",""
"WebTables_251","Thane","1,375,000","India","",""
"WebTables_252","Varanasi","1,375,000","India","",""
"WebTables_253","Rajkot","1,336,000","India","",""
"WebTables_254","Ranchi","1,290,000","India","",""
"WebTables_255","Meerut","1,277,000","India","",""
"WebTables_256","Allahabad","1,215,000","India","",""
"WebTables_257","Amritsar","1,195,000","India","",""
"WebTables_258","Aurangabad","1,168,000","India","",""
"WebTables_259","Solapur","1,134,000","India","",""
"WebTables_260","Madurai","1,130,000","India","",""
"WebTables_261","Jabalpur","1,117,000","India","",""
"WebTables_262","Mirat","1,095,000","India","",""
"WebTables_263","Dhanbad","1,065,000","India","",""
"WebTables_264","Faridabad","1,055,000","India","",""
"WebTables_265","Haora","1,008,000","India","",""
"WebTables_266","Haora","1,008,000","India","",""
"WebTables_267","Jodhpur","1,007,000","India","",""
"WebTables_268","Ghaziabad","970,000","India","",""
"WebTables_269","Visakhapatnam","970,000","India","",""
"WebTables_270","Vijayawada","957,000","India","",""
"WebTables_271","Coimbatore","931,000","India","",""
"WebTables_272","Srinagar","915,000","India","",""
"WebTables_273","Chandigarh","901,000","India","",""
"WebTables_274","Sholapur","890,000","India","",""
"WebTables_275","Thiruvananthapuram","810,000","India","",""
"WebTables_276","Guwahati","808,000","India","",""
"WebTables_277","Hubli","801,000","India","",""
"WebTables_278","Mysore","799,000","India","",""
"WebTables_279","Tiruchchirappalli","760,000","India","",""
"WebTables_280","Jalandhar","714,000","India","",""
"WebTables_281","Gwalior","690,000","India","",""
"WebTables_282","Aligarh","680,000","India","",""
"WebTables_283","Amravati","678,000","India","",""
"WebTables_284","Bhubaneswar","659,000","India","",""
"WebTables_285","Jamshedpur","630,000","India","",""
"WebTables_286","Bhilai","564,000","India","",""
"WebTables_287","Kozhikode","437,000","India","",""
"WebTables_288","JAKARTA","10,100,000","Indonesia","",""
"WebTables_289","Surabaya","3,100,000","Indonesia","",""
"WebTables_290","Bandung","2,510,000","Indonesia","",""
"WebTables_291","Medan","1,990,000","Indonesia","",""
"WebTables_292","Palembang","1,600,000","Indonesia","",""
"WebTables_293","Tangerang","1,545,000","Indonesia","",""
"WebTables_294","Semarang","1,393,000","Indonesia","",""
"WebTables_295","Ujung Pandang","1,170,000","Indonesia","",""
"WebTables_296","Makasar","1,113,000","Indonesia","",""
"WebTables_297","Bogor","866,000","Indonesia","",""
"WebTables_298","Padang","820,000","Indonesia","",""
"WebTables_299","Bandar Lampung","743,000","Indonesia","",""
"WebTables_300","Malang","742,000","Indonesia","",""
"WebTables_301","Surakarta","533,000","Indonesia","",""
"WebTables_302","Denpasar","491,000","Indonesia","",""
"WebTables_303","Yogyakarta","417,000","Indonesia","",""
"WebTables_304","Mataram","330,000","Indonesia","",""
"WebTables_305","Cirebon","319,000","Indonesia","",""
"WebTables_306","Tegal","238,000","Indonesia","",""
"WebTables_307","TEHRAN","8,430,000","Iran","",""
"WebTables_308","Mashhad","2,910,000","Iran","",""
"WebTables_309","Esfahan","1,584,000","Iran","",""
"WebTables_310","Tabriz","1,420,000","Iran","",""
"WebTables_311","Karaj","1,380,000","Iran","",""
"WebTables_312","Ahwaz","1,338,000","Iran","",""
"WebTables_313","Shiraz","1,228,000","Iran","",""
"WebTables_314","Qom","1,042,000","Iran","",""
"WebTables_315","Kermanshah","823,000","Iran","",""
"WebTables_316","Baghdad","6,050,000","Iraq","",""
"WebTables_317","Basrah","1,760,000","Iraq","",""
"WebTables_318","Irbil","1,294,000","Iraq","",""
"WebTables_319","Mosul","1,139,000","Iraq","",""
"WebTables_320","Dublin","506,000","Ireland","",""
"WebTables_321","Jerusalem","764,000","Israel","",""
"WebTables_322","TEL AVIV","383,000","Israel","",""
"WebTables_323","Haifa","276,000","Israel","",""
"WebTables_324","ROME","2,732,000","Italy","",""
"WebTables_325","Milan","1,302,000","Italy","",""
"WebTables_326","Naples","963,000","Italy","",""
"WebTables_327","Turin","910,000","Italy","",""
"WebTables_328","Palermo","684,000","Italy","",""
"WebTables_329","Florence","375,000","Italy","",""
"WebTables_330","Catania","337,000","Italy","",""
"WebTables_331","Abidjan","3,800,000","Ivory Coast","",""
"WebTables_332","Bouakt","531,000","Ivory Coast","",""
"WebTables_333","KINGSTON","650,000","Jamaica","",""
"WebTables_334","TOKYO","8,653,000","Japan","",""
"WebTables_335","Yokohama","3,655,000","Japan","",""
"WebTables_336","Osaka","2,647,000","Japan","",""
"WebTables_337","Nagoya","2,260,000","Japan","",""
"WebTables_338","Sapporo","1,906,000","Japan","",""
"WebTables_339","Kobe","1,534,000","Japan","",""
"WebTables_340","Kyoto","1,466,000","Japan","",""
"WebTables_341","Fukuoka","1,450,000","Japan","",""
"WebTables_342","Kawasaki","1,390,000","Japan","",""
"WebTables_343","Saitama","1,183,000","Japan","",""
"WebTables_344","Hiroshima","1,174,000","Japan","",""
"WebTables_345","Sendai","1,032,000","Japan","",""
"WebTables_346","Kitakyushu","985,000","Japan","",""
"WebTables_347","Chiba","962,000","Japan","",""
"WebTables_348","Sakai","836,000","Japan","",""
"WebTables_349","Hamamatsu","815,000","Japan","",""
"WebTables_350","Niigata","812,000","Japan","",""
"WebTables_351","Shizuoka","718,000","Japan","",""
"WebTables_352","Okayama","700,000","Japan","",""
"WebTables_353","Okinawa","129,000","Japan","",""
"WebTables_354","AMMAN","1,919,000","Jordan","",""
"WebTables_355","ALMATY","1,420,000","Kazakhstan","",""
"WebTables_356","ASTANA","803,000","Kazakhstan","",""
"WebTables_357","Mombasa","880,000","Kenia","",""
"WebTables_358","NAIROBI","3,130,000","Kenya","",""
"WebTables_359","KUWAIT CITY","96,000","Kuwait","",""
"WebTables_360","BISHKEK","765,000","Kyrgyzstan","",""
"WebTables_361","Osh","230,000","Kyrgyztan","",""
"WebTables_362","RIGA","725,000","Latvia","",""
"WebTables_363","BEIRUT","1,250,000","Lebanon","",""
"WebTables_364","MONROVIA","543,000","Liberia","",""
"WebTables_365","TRIPOLI","1,683,000","Libya","",""
"WebTables_366","Benghazi","1,471,000","Libya","",""
"WebTables_367","VILNIUS","545,000","Lithuania","",""
"WebTables_368","KABUL","3,586,000","Afghanistan","",""
"WebTables_369","ALGIERS","1,520,000","Algeria","",""
"WebTables_370","Oran","683,000","Algeria","",""
"WebTables_371","LUANDA","4,799,000","Angola","",""
"WebTables_372","BUENOS AIRES","11,655,000","Argentina","",""
"WebTables_373","Cordoba","1,310,000","Argentina","",""
"WebTables_374","La Matanza","1,255,000","Argentina","",""
"WebTables_375","Rosario","1,160,000","Argentina","",""
"WebTables_376","La Plata","710,000","Argentina","",""
"WebTables_377","Tucuman","528,000","Argentina","",""
"WebTables_378","Mendoza","113,000","Argentina","",""
"WebTables_379","YEREVAN","1,108,000","Armenia","",""
"WebTables_380","Sydney","4,400,000","Australia","",""
"WebTables_381","Melbourne","3,635,000","Australia","",""
"WebTables_382","Perth","1,603,000","Australia","",""
"WebTables_383","Brisbane","1,544,000","Australia","",""
"WebTables_384","Adelaide","1,290,000","Australia","",""
"WebTables_385","VIENNA","1,681,000","Austria","",""
"WebTables_386","BAKU","2,040,000","Azerbaijan","",""
"WebTables_387","DHAKA","7,940,000","Bangladesh","",""
"WebTables_388","Chittagong","2,580,000","Bangladesh","",""
"WebTables_389","Khulna","856,000","Bangladesh","",""
"WebTables_390","MINSK","1,831,000","Belarus","",""
"WebTables_391","BRUSSELS","958,000","Belgium","",""
"WebTables_392","Antwerp","444,000","Belgium","",""
"WebTables_393","Gent","233,000","Belgium","",""
"WebTables_394","Bruges","117,000","Belgium","",""
"WebTables_395","Santa Cruz","1,595,000","Bolivia","",""
"WebTables_396","LA PAZ","1,517,000","Bolivia","",""
"WebTables_397","Cochabamba","608,000","Bolivia","",""
"WebTables_398","Sao Paulo","11,038,000","Brazil","",""
"WebTables_399","Rio de Janeiro","6,093,000","Brazil","",""
"WebTables_400","Salvador da Bahia","2,998,000","Brazil","",""
"WebTables_401","Fortaleza","2,506,000","Brazil","",""
"WebTables_402","Belo Horizonte","2,453,000","Brazil","",""
"WebTables_403","BRASILIA","2,089,000","Brazil","",""
"WebTables_404","Curitiba","1,851,000","Brazil","",""
"WebTables_405","Manaus","1,739,000","Brazil","",""
"WebTables_406","Recife","1,561,000","Brazil","",""
"WebTables_407","Belem","1,409,000","Brazil","",""
"WebTables_408","Porto Alegre","1,355,000","Brazil","",""
"WebTables_409","Guarulhos","1,283,000","Brazil","",""
"WebTables_410","Goiania","1,282,000","Brazil","",""
"WebTables_411","Campinas","1,059,000","Brazil","",""
"WebTables_412","Sao Luis","987,000","Brazil","",""
"WebTables_413","Sao Goncalo","973,000","Brazil","",""
"WebTables_414","Maceio","922,000","Brazil","",""
"WebTables_415","Teresina","893,000","Brazil","",""
"WebTables_416","Duque de Caxias","864,000","Brazil","",""
"WebTables_417","Nova Iguacu","846,000","Brazil","",""
"WebTables_418","Natal","790,000","Brazil","",""
"WebTables_419","Sao Bernardo do Campo","783,000","Brazil","",""
"WebTables_420","Joao Pessoa","702,000","Brazil","",""
"WebTables_421","Sao Jose dos Campos","611,000","Brazil","",""
"WebTables_422","Ribeirao Preto","547,000","Brazil","",""
"WebTables_423","Santos","418,000","Brazil","",""
"WebTables_424","Vitoria","313,000","Brazil","",""
"WebTables_425","Colombo","247,000","Brazil","",""
"WebTables_426","SOFIA","1,403,000","Bulgaria","",""
"WebTables_427","OUAGADOUGOU","1,475,000","Burkina Faso","",""
"WebTables_428","PHNOM PENH","1,242,000","Cambodia","",""
"WebTables_429","YAOUNDÉ","1,430,000","Cameroon","",""
"WebTables_430","Douala","1,382,000","Cameroon","",""
"WebTables_431","Toronto","2,571,000","Canada","",""
"WebTables_432","Montreal","1,621,000","Canada","",""
"WebTables_433","Calgary","988,000","Canada","",""
"WebTables_434","OTTAWA","815,000","Canada","",""
"WebTables_435","Edmonton","730,000","Canada","",""
"WebTables_436","Vancouver","580,000","Canada","",""
"WebTables_437","Québec","495,000","Canada","",""
"WebTables_438","BANGUI","652,000","Central African Republic","",""
"WebTables_439","SANTIAGO","5,278,000","Chile","",""
"WebTables_440","Concepción","404,000","Chile","",""
"WebTables_441","Valparaiso","301,000","Chile","",""
"WebTables_442","Shanghai","14,900,000","China","",""
"WebTables_443","BEIJING","12,460,000","China","",""
"WebTables_444","Tianjin","7,500,000","China","",""
"WebTables_445","Hong Kong","7,055,000","China","",""
"WebTables_446","Guangzhou","6,458,000","China","",""
"WebTables_447","Dongguan","6,446,000","China","",""
"WebTables_448","Shenyang","5,090,000","China","",""
"WebTables_449","Chongqing","5,087,000","China","",""
"WebTables_450","Harbin","4,755,000","China","",""
"WebTables_451","Wuhan","4,500,000","China","",""
"WebTables_452","Chengdu","4,334,000","China","",""
"WebTables_453","Shenzhen","4,320,000","China","",""
"WebTables_454","Nanjing","4,150,000","China","",""
"WebTables_455","Changchun","3,581,000","China","",""
"WebTables_456","Guiyang","3,450,000","China","",""
"WebTables_457","Hangzhou","3,408,000","China","",""
"WebTables_458","Kunming","3,100,000","China","",""
"WebTables_459","Zibo","2,850,000","China","",""
"WebTables_460","Huludao","2,787,000","China","",""
"WebTables_461","Qingdao","2,755,000","China","",""
"WebTables_462","Changsha","2,744,000","China","",""
"WebTables_463","Fuzhou (Fujian)","2,710,000","China","",""
"WebTables_464","Xian","2,670,000","China","",""
"WebTables_465","Shijiazhuang","2,630,000","China","",""
"WebTables_466","Zhengzhou","2,600,000","China","",""
"WebTables_467","Taiyuan","2,550,000","China","",""
"WebTables_468","Baoshan","2,500,000","China","",""
"WebTables_469","Zhongshan","2,495,000","China","",""
"WebTables_470","Xiamen","2,490,000","China","",""
"WebTables_471","Chaoyang","2,471,000","China","",""
"WebTables_472","Nanning","2,450,000","China","",""
